name,budget,seed,mode,hgs_cost,grader_cost,opt,n_routes,kmin,opt_routes,feasible,valid_perm,wall,gap_pct
XML100_3266_03,2.0,43,free,8864,8864,8774,3,3,3,1,1,2.025,1.0257579211306131
XML100_3266_03,2.0,44,free,8884,8884,8774,3,3,3,1,1,2.025,1.253704125826305
XML100_3266_03,5.0,42,free,8778,8778,8774,3,3,3,1,1,5.028,0.04558924093913836
XML100_3266_03,5.0,43,free,8822,8822,8774,3,3,3,1,1,5.025,0.5470708912696604
XML100_3266_03,5.0,44,free,8819,8819,8774,3,3,3,1,1,5.019,0.5128789605653066
XML100_1244_21,30.0,44,free,13173,13173,13173,8,8,8,1,1,30.014,0.0
XML100_3266_03,10.0,42,free,8774,8774,8774,3,3,3,1,1,10.014,0.0
XML100_3266_03,10.0,43,free,8795,8795,8774,3,3,3,1,1,10.016,0.2393435149304764
XML100_3266_03,10.0,44,free,8774,8774,8774,3,3,3,1,1,10.024,0.0
XML100_1371_27,2.0,42,free,32221,32221,32186,33,29,33,1,1,2.023,0.10874293170943888
XML100_1371_27,2.0,43,free,32229,32229,32186,33,29,33,1,1,2.021,0.13359845895731062
XML100_1371_27,2.0,44,free,32235,32235,32186,33,29,33,1,1,2.03,0.15224010439321445
XML100_2255_02,30.0,42,free,8743,8743,8743,6,6,6,1,1,30.026,0.0
XML100_2255_02,30.0,43,free,8743,8743,8743,6,6,6,1,1,30.02,0.0
XML100_1371_27,5.0,42,free,32200,32200,32186,34,29,33,1,1,5.02,0.04349717268377556
XML100_1371_27,5.0,43,free,32197,32197,32186,33,29,33,1,1,5.025,0.03417634996582365
XML100_1371_27,5.0,44,free,32192,32192,32186,33,29,33,1,1,5.023,0.018641645435903808
XML100_2255_02,30.0,44,free,8743,8743,8743,6,6,6,1,1,30.016,0.0
XML100_1371_27,10.0,42,free,32189,32189,32186,33,29,33,1,1,10.021,0.009320822717951904
XML100_1371_27,10.0,43,free,32186,32186,32186,33,29,33,1,1,10.023,0.0
XML100_1371_27,10.0,44,free,32189,32189,32186,33,29,33,1,1,10.023,0.009320822717951904
XML100_2312_04,2.0,42,free,14601,14601,14486,15,15,15,1,1,2.014,0.7938699433936214
XML100_3266_03,30.0,42,free,8774,8774,8774,3,3,3,1,1,30.03,0.0
XML100_3266_03,30.0,43,free,8774,8774,8774,3,3,3,1,1,30.014,0.0
XML100_2312_04,2.0,43,free,14647,14647,14486,15,15,15,1,1,2.027,1.11141792075107
XML100_2312_04,2.0,44,free,14574,14574,14486,15,15,15,1,1,2.016,0.6074830871185972
XML100_3266_03,30.0,44,free,8774,8774,8774,3,3,3,1,1,30.016,0.0
